순번,등록일자,지역,유형,장프,티켓구분,공연명,단체명,공연기간,공연장소
1,2018-12-31,서울,공연,연극,할인티켓,[서울]연극열전7 - 세 번째 작품<진실X거짓>,(주)연극열전,2019-01-01~2019-01-10,아트원씨어터 2관
2,2018-12-10,서울,공연,클래식,무료티켓,[서울]조이오브스트링스 신년음악회 <사랑의 인사>(객석나눔),(주)스테이지원,2019-01-02~2019-01-02,예술의전당 IBK챔버홀
3,2018-12-10,서울,공연,클래식,할인티켓,[서울]조이오브스트링스 신년음악회 <사랑의 인사>,(주)스테이지원,2019-01-02~2019-01-02,예술의전당 IBK챔버홀
4,2018-12-28,서울,공연,퍼포먼스,무료티켓,[서울]넌버벌 퍼포먼스 <파이어맨>(객석나눔),(주)에픽씨어터,2019-01-02~2019-07-31,명보아트홀 가온홀
5,2018-12-28,서울,공연,퍼포먼스,할인티켓,[서울]넌버벌 퍼포먼스 <파이어맨>,(주)에픽씨어터,2019-01-02~2019-08-31,명보아트홀 가온홀
6,2018-12-03,경기,공연,뮤지컬,할인티켓,[경기]어린이뮤지컬<출동! 슈퍼윙스> - 파라오를 찾아서!,엔씨컴퍼니,2019-01-04~2019-03-03,한국잡월드 나래울극장
7,2019-01-04,서울,공연,연극,무료티켓,[서울]국희이야기(객석나눔),극단 청춘좌,2019-01-05~2019-03-31,대학로 스카이시어터
8,2019-01-04,서울,공연,연극,할인티켓,[서울]국희이야기,극단 청춘좌,2019-01-05~2019-03-31,대학로 스카이시어터
9,2018-12-04,서울,공연,클래식,무료티켓,[서울]테너 이기용 귀국 독창회(객석나눔),예인예술기획,2019-01-09~2019-01-09,세종문화회관 세종체임버홀
10,2019-01-07,서울,공연,뮤지컬,할인티켓,[서울]뮤지컬<천로역정>,조이피플,2019-01-09~2019-06-27,북촌아트홀
11,2019-01-10,서울,공연,연극,할인티켓,[서울]2018<톡톡>,(주)연극열전,2019-01-11~2019-02-10,대학로 TOM 2관
12,2018-12-27,대구,공연,콘서트,할인티켓,[대구]박경림 리슨 토크콘서트 첫 투어,(주)그린엔터테인먼트,2019-01-12~2019-01-12,대구보건대 인당아트홀
13,2019-01-03,대구,공연,콘서트,무료티켓,[대구]박경림 리슨 토크콘서트 첫 투어(객석나눔),(주)그린엔터테인먼트,2019-01-12~2019-01-12,대구보건대 인당아트홀
14,2019-01-15,경기,공연,클래식,무료티켓,[경기]플레이어즈 필하모닉 오케스트라 신년음악회(객석나눔),예인예술기획,2019-01-18~2019-01-18,성남아트센터 콘서트홀
15,2019-01-15,서울,공연,클래식,무료티켓,[서울]2019 kt와 함께하는 토요일 오후의 클래식(객석나눔),(주)컬쳐비즈글로벌,2019-01-19~2019-03-02,KT체임버홀
16,2019-01-16,경기,공연,클래식,무료티켓,[경기]2019 빈 소년 합창단 신년음악회 - 과천(객석나눔),과천시시설관리공단,2019-01-22~2019-01-22,과천시민회관 대극장
17,2019-01-18,서울,공연,연극,무료티켓,[서울]제2회 소설시장 페스티벌<수인 - 인간이란 이름의 짐승들>(객석나눔),(주)문화공감공존,2019-01-23~2019-01-27,소극장 혜화당
18,2019-01-09,부산,공연,콘서트,무료티켓,[부산]재즈 와인에 빠지다 128th - 박윤우 TRIO(객석나눔),문화기획단 무대공감,2019-01-25~2019-01-25,해운대문화회관 해운홀(대공연장)
19,2019-01-09,부산,공연,콘서트,할인티켓,[부산]재즈 와인에 빠지다 128th - 박윤우 TRIO,문화기획단 무대공감,2019-01-25~2019-01-25,해운대문화회관 해운홀(대공연장)
20,2018-12-24,부산,공연,아동극,무료티켓,[부산]액션뮤지컬<미니특공대X - 대결！제노스군단>(객석나눔),(주)화랑엔터테인먼트,2019-01-26~2019-01-27,부산문화회관 대극장
21,2018-12-24,부산,공연,아동극,할인티켓,[부산]액션뮤지컬<미니특공대X - 대결！제노스군단>,(주)화랑엔터테인먼트,2019-01-26~2019-01-27,부산문화회관 대극장
22,2019-01-18,서울,공연,연극,무료티켓,[서울]제2회 소설시장 페스티벌<조 앤 스칼렛 - 바람과 함께 사라진 작은 소녀들>(객석나눔),(주)문화공감공존,2019-01-30~2019-02-03,소극장 혜화당
23,2019-01-25,서울,공연,연극,무료티켓,[서울]제2회 소설시장 페스티벌<원고료 이백 원 - 작가 강경애를 만나다>(객석나눔),(주)문화공감공존,2019-01-30~2019-02-03,소극장 혜화당
24,2019-01-21,서울,공연,클래식,무료티켓,[서울]클래시칸 앙상블의 세계음악여행 - 오스트리아(객석나눔),(주)마스트미디어,2019-01-31~2019-01-31,신영체임버홀
25,2019-01-28,서울,공연,연극,무료티켓,[서울]술래잡기(객석나눔),위로 컴퍼니,2019-02-01~2019-02-28,대학로 댕로홀(구. 두레홀1관)
26,2019-01-08,부산,공연,연극,무료티켓,[부산]2019년 리얼 생존 현실로코 <썸이필요해>(객석나눔),주식회사플레이더부산,2019-02-01~2019-03-31,부산메트로홀(구AN아트홀RED)
27,2019-01-08,부산,공연,연극,할인티켓,[부산]2019년 리얼 생존 현실로코 <썸이필요해>,주식회사플레이더부산,2019-02-01~2019-03-31,부산메트로홀(구AN아트홀RED)
28,2019-01-16,서울,공연,발레/무용,무료티켓,[서울]국립무용단 명절기획시리즈<설 · 바람>(객석나눔),국립중앙극장,2019-02-05~2019-02-06,국립극장 하늘극장
29,2019-02-01,서울,공연,아동극,무료티켓,[서울]뮤지컬 헬로카봇 시즌4 <찌릿찌릿 전기 대소동>(객석나눔),(주)하쿠나마타타,2019-02-07~2019-02-22,KT&G 상상마당 대치아트홀
30,2019-01-11,서울,공연,아동극,할인티켓,[서울]음악교육극<미술관에 간 윌리>,엔씨컴퍼니,2019-02-07~2019-03-31,한국방송회관 코바코홀
31,2019-01-22,경기,공연,뮤지컬,무료티켓,[경기]100살 모기 소송사건 - 성남(객석나눔),극단 날으는자동차,2019-02-09~2019-02-09,성남시청 온누리홀
32,2019-01-04,제주,공연,아동극,할인티켓,[제주]100만부 베스트셀러 어린이 뮤지컬<누가 내 머리 똥 쌌어?>,아이짬 컴퍼니,2019-02-09~2019-02-10,제주문예회관 대극장
33,2019-01-18,서울,공연,클래식,무료티켓,[서울]문지형 첼로 독주회(객석나눔),예인예술기획,2019-02-10~2019-02-10,예술의전당 리사이틀홀
34,2019-01-22,경기,공연,뮤지컬,무료티켓,[경기]마루의 파란하늘 - 성남(객석나눔),극단 날으는자동차,2019-02-10~2019-02-10,성남아트센터 앙상블시어터
35,2019-01-29,서울,공연,발레/무용,무료티켓,[서울]이철진의 월요 승무이야기(객석나눔),(주)꿈꾸는 공작소,2019-02-11~2019-04-29,대학로 성균소극장
36,2019-01-28,인천,공연,발레/무용,무료티켓,[인천]2019 커피콘서트 스페셜Ⅰ <이원국 발레단 - 사랑의 세레나데>(객석나눔),인천광역시문화예술회관,2019-02-13~2019-02-13,인천문화예술회관 소공연장
37,2019-01-28,인천,공연,발레/무용,할인티켓,[인천]2019 커피콘서트 스페셜Ⅰ <이원국 발레단 - 사랑의 세레나데>,인천광역시문화예술회관,2019-02-13~2019-02-13,인천문화예술회관 소공연장
